Gene,log2FoldChange,pvalue,padj,minus_log10_pvalue,Change
LRRC37A4,-0.404,0.2436,0.9994,0.613322716,Similar
LOC644172,0.07311,0.7756,0.9994,0.1103622,Similar
CRHR1,0.3862,0.3248,0.9994,0.488383979,Similar
MGC57346,0.1902,0.3046,0.9994,0.516270101,Similar
C17orf69,0.09151,0.6621,0.9994,0.179076412,Similar
MAPT-AS1,0.2712,0.4731,0.9994,0.325047052,Similar
SPPL2C,0.3743,0.3387,0.9994,0.470184803,Similar
MAPT,0.402,0.1844,0.9994,0.734239083,Similar
MAPT-IT1,0.3044,0.39,0.9994,0.408935393,Similar
KANSL1,-0.03726,0.8897,0.9994,0.050756409,Similar
ARL17A,0.08583,0.8249,0.9994,0.083598696,Similar
LRRC37A2,0.02231,0.9516,0.9994,0.021545567,Similar
WNT3,-0.09804,0.7886,0.9994,0.103143227,Similar
WNT9B,-0.1678,0.6296,0.9994,0.200935281,Similar
GOSR2,-0.02434,0.8996,0.9994,0.045950553,Similar
RPRML,0.319,0.4083,0.9994,0.38902062,Similar
CDC27,-0.1923,0.1387,0.9994,0.857923539,Similar
ITGB3,-0.5065,0.1611,0.9994,0.79290446,Similar
C17orf57,-0.1274,0.6119,0.9994,0.213319547,Similar
MRPL45P2,0.02645,0.9425,0.9994,0.025718641,Similar
NPEPPS,-0.09791,0.4415,0.9994,0.355069292,Similar
KPNB1,-0.2208,0.2238,0.9994,0.650139918,Similar
TBKBP1,-0.1046,0.7072,0.9994,0.150457748,Similar
OSBPL7,-0.151,0.6555,0.9994,0.183427304,Similar
MRPL10,-0.06852,0.7844,0.9994,0.105462415,Similar
LRRC46,0.4121,0.2829,0.9994,0.548367053,Similar
SCRN2,-0.1789,0.4723,0.9994,0.325782054,Similar
SP2,0.04061,0.7055,0.9994,0.151502982,Similar
PNPO,-0.06101,0.7908,0.9994,0.101933339,Similar
CDK5RAP3,-0.1431,0.625,0.9994,0.204119983,Similar
NFE2L1,-0.1537,0.3534,0.9994,0.451733455,Similar
CBX1,0.05808,0.6153,0.9994,0.210913085,Similar
SNX11,0.1394,0.4215,0.9994,0.375202421,Similar
SKAP1,-0.05441,0.8607,0.9994,0.065148197,Similar
HOXB2,0.06126,0.8508,0.9994,0.070172519,Similar
HOXB3,0.2153,0.3659,0.9994,0.436637591,Similar
HOXB4,0.2826,0.3198,0.9994,0.495121541,Similar
MIR10A,-0.1712,0.6585,0.9994,0.181444221,Similar
HOXB-AS3,-0.02308,0.9369,0.9994,0.028306761,Similar
HOXB5,0.111,0.7591,0.9994,0.119701009,Similar
HOXB6,0.3703,0.2289,0.9994,0.640354207,Similar
HOXB7,0.3076,0.2209,0.9994,0.655804284,Similar
HOXB8,0.2721,0.347,0.9994,0.459670525,Similar
HOXB9,0.1678,0.6083,0.9994,0.215882184,Similar
TTLL6,-0.09517,0.8083,0.9994,0.092427421,Similar
ATP5G1,0.1478,0.5379,0.9994,0.269298456,Similar
UBE2Z,-0.09148,0.4622,0.9994,0.335170059,Similar
SNF8,-0.007774,0.9754,0.9994,0.010817249,Similar
IGF2BP1,-0.1228,0.6296,0.9994,0.200935281,Similar
ZNF652,0.1076,0.6866,0.9994,0.163296201,Similar
PHB,-0.08866,0.7022,0.9994,0.153539175,Similar
NGFR,-0.1606,0.6814,0.9994,0.166597871,Similar
NXPH3,0.2207,0.5439,0.9994,0.264480941,Similar
SPOP,0.1058,0.322,0.9994,0.492144128,Similar
SLC35B1,0.0219,0.8921,0.9994,0.049586461,Similar
KAT7,-0.0869,0.6945,0.9994,0.15832775,Similar
FLJ45513,-0.1199,0.7223,0.9994,0.141282385,Similar
LOC284080,0.2082,0.5949,0.9994,0.225556031,Similar
ITGA3,-0.1813,0.5474,0.9994,0.261695207,Similar
PDK2,-0.07185,0.7843,0.9994,0.105517785,Similar
PPP1R9B,0.1657,0.422,0.9994,0.374687549,Similar
TMEM92,-0.5436,0.1181,0.9994,0.927750102,Similar
XYLT2,-0.3209,0.2302,0.9994,0.637894681,Similar
MRPL27,-0.02183,0.9168,0.9994,0.037725395,Similar
EME1,-0.4207,0.2029,0.9994,0.692717953,Similar
LRRC59,0.03751,0.8391,0.9994,0.076186279,Similar
CHAD,-0.4713,0.2264,0.9994,0.645123577,Similar
RSAD1,-0.02569,0.9262,0.9994,0.033295223,Similar
MYCBPAP,-0.02688,0.9453,0.9994,0.024430342,Similar
EPN3,-0.01739,0.9608,0.9994,0.017367006,Similar
SPATA20,-0.1632,0.5921,0.9994,0.227604939,Similar
LOC253962,-0.01191,0.9752,0.9994,0.010906307,Similar
CACNA1G,0.02051,0.9557,0.9994,0.019678414,Similar
ABCC3,-0.1283,0.7413,0.9994,0.130006,Similar
ANKRD40,-0.218,0.2227,0.9994,0.652279783,Similar
LUC7L3,-0.09684,0.7983,0.9994,0.097833871,Similar
WFIKKN2,-0.04743,0.9019,0.9994,0.044841613,Similar
TOB1,0.1066,0.6266,0.9994,0.203009609,Similar
LOC400604,0.3306,0.2189,0.9994,0.659754238,Similar
SPAG9,0.142,0.5077,0.9994,0.294392837,Similar
NME1,-0.05692,0.8126,0.9994,0.090123182,Similar
NME2,-0.2227,0.3162,0.9994,0.500038134,Similar
MBTD1,0.1645,0.5177,0.9994,0.285921835,Similar
UTP18,0.2492,0.2232,0.9994,0.65130581,Similar
CA10,0.2064,0.5696,0.9994,0.244430019,Similar
TOM1L1,-0.3155,0.3672,0.9994,0.435097327,Similar
COX11,0.03138,0.8344,0.9994,0.078625705,Similar
STXBP4,-0.1004,0.6347,0.9994,0.197431502,Similar
HLF,-0.1716,0.6561,0.9994,0.183029962,Similar
MMD,-0.06131,0.7893,0.9994,0.102757897,Similar
PCTP,-0.3257,0.2363,0.9994,0.626536278,Similar
ANKFN1,0.3095,0.3432,0.9994,0.464452721,Similar
NOG,-0.3953,0.2453,0.9994,0.610302452,Similar
C17orf67,-0.1318,0.7329,0.9994,0.134955278,Similar
DGKE,0.1072,0.7147,0.9994,0.145876218,Similar
TRIM25,-0.4506,0.1818,0.9994,0.740406121,Similar
RNF126P1,0.06398,0.8159,0.9994,0.088363067,Similar
AKAP1,0.1109,0.6589,0.9994,0.181180492,Similar
MSI2,-0.0794,0.7283,0.9994,0.13768969,Similar
MRPS23,0.1566,0.4476,0.9994,0.349109922,Similar
VEZF1,0.03055,0.8376,0.9994,0.076963331,Similar
SRSF1,-0.08366,0.6198,0.9994,0.207748428,Similar
DYNLL2,0.2026,0.3208,0.9994,0.49376564,Similar
EPX,0.3365,0.2268,0.9994,0.64435695,Similar
MKS1,-0.04076,0.8257,0.9994,0.083177715,Similar
LPO,0.4518,0.2423,0.9994,0.615646586,Similar
BZRAP1,0.343,0.2333,0.9994,0.632085261,Similar
LOC100506779,0.3127,0.176,0.9994,0.754487332,Similar
SUPT4H1,0.0224,0.9106,0.9994,0.040672354,Similar
MTMR4,0.07172,0.8,0.9994,0.096910013,Similar
Sep-04,0.1594,0.6056,0.9994,0.217814134,Similar
TEX14,0.151,0.6106,0.9994,0.2142432,Similar
RAD51C,0.09271,0.6755,0.9994,0.170374647,Similar
PPM1E,0.2523,0.2917,0.9994,0.535063571,Similar
SKA2,0.1429,0.4207,0.9994,0.376027488,Similar
PRR11,-0.3226,0.118,0.9994,0.928117993,Similar
SMG8,0.1832,0.3238,0.9994,0.489723156,Similar
DHX40,0.05524,0.8376,0.9994,0.076963331,Similar
CLTC,-0.05569,0.5501,0.9994,0.259558355,Similar
PTRH2,0.1412,0.3606,0.9994,0.442974278,Similar
VMP1,0.07522,0.7408,0.9994,0.130299026,Similar
MIR21,0.0772,0.8418,0.9994,0.074791079,Similar
TUBD1,0.1558,0.3342,0.9994,0.475993554,Similar
RPS6KB1,-0.007767,0.9632,0.9994,0.016283526,Similar
RNFT1,-0.4,0.1267,0.9994,0.897223385,Similar
MIR4737,-0.01148,0.9762,0.9994,0.010461197,Similar
HEATR6,-0.06797,0.5328,0.9994,0.273435784,Similar
LOC645638,0.1527,0.6956,0.9994,0.157640427,Similar
CA4,-0.2245,0.5641,0.9994,0.2486439,Similar
USP32,0.09368,0.3514,0.9994,0.454198243,Similar
PPM1D,-0.1292,0.3014,0.9994,0.520856752,Similar
BCAS3,-0.08527,0.5717,0.9994,0.242831808,Similar
C17orf82,-0.1756,0.6448,0.9994,0.190574971,Similar
NACA2,-0.3141,0.2431,0.9994,0.614215041,Similar
BRIP1,-0.2776,0.479,0.9994,0.319664487,Similar
INTS2,0.05862,0.6275,0.9994,0.20238627,Similar
MED13,0.1046,0.4951,0.9994,0.305307074,Similar
METTL2A,0.1997,0.2685,0.9994,0.57105571,Similar
TLK2,0.0808,0.4843,0.9994,0.314885531,Similar
Mar-10,0.3476,0.3656,0.9994,0.436993813,Similar
TANC2,0.192,0.3956,0.9994,0.402743717,Similar
CYB561,0.06574,0.8543,0.9994,0.068389594,Similar
ACE,0.04761,0.8863,0.9994,0.052419251,Similar
KCNH6,0.2527,0.4901,0.9994,0.309715297,Similar
DCAF7,0.0562,0.7983,0.9994,0.097833871,Similar
TACO1,0.08938,0.7626,0.9994,0.117703199,Similar
MAP3K3,-0.2659,0.3472,0.9994,0.459420283,Similar
LIMD2,0.1564,0.5161,0.9994,0.287266141,Similar
LOC729683,0.3453,0.2778,0.9994,0.556267759,Similar
STRADA,0.1405,0.3568,0.9994,0.447575154,Similar
CCDC47,-0.04839,0.814,0.9994,0.089375595,Similar
DDX42,0.09628,0.3012,0.9994,0.521145032,Similar
FTSJ3,-0.1983,0.4345,0.9994,0.362010219,Similar
PSMC5,0.07712,0.7366,0.9994,0.132768285,Similar
SCN4A,-0.2218,0.5705,0.9994,0.243744351,Similar
C17orf72,0.2546,0.5162,0.9994,0.287182,Similar
ERN1,-0.3429,0.1998,0.9994,0.699404516,Similar
SNORD104,-0.2373,0.5358,0.9994,0.270997291,Similar
TEX2,0.06663,0.7647,0.9994,0.11650891,Similar
POLG2,-0.1172,0.6791,0.9994,0.16806627,Similar
DDX5,0.07973,0.6331,0.9994,0.198527686,Similar
MIR3064,-0.1373,0.7254,0.9994,0.139422449,Similar
MIR5047,-0.1776,0.6491,0.9994,0.187688391,Similar
CEP95,-0.07874,0.8004,0.9994,0.09669292,Similar
SMURF2,-0.09649,0.3892,0.9994,0.409827168,Similar
LOC146880,-0.04609,0.8702,0.9994,0.060380921,Similar
PLEKHM1P,-0.003212,0.9907,0.9994,0.004057837,Similar
LRRC37A3,0.09913,0.6861,0.9994,0.163612581,Similar
AMZ2P1,0.05842,0.6784,0.9994,0.168514161,Similar
GNA13,-0.2756,0.2374,0.9994,0.624519285,Similar
RGS9,-0.06278,0.8405,0.9994,0.075462282,Similar
AXIN2,-0.2103,0.3938,0.9994,0.404724288,Similar
PRKCA,-0.03773,0.8775,0.9994,0.056752875,Similar
CACNG5,-0.2966,0.4434,0.9994,0.353204311,Similar
CACNG4,0.2498,0.1575,0.9994,0.802719442,Similar
CACNG1,0.2877,0.4326,0.9994,0.363913485,Similar
HELZ,-0.01869,0.9246,0.9994,0.034046111,Similar
PSMD12,0.09084,0.5265,0.9994,0.278601624,Similar
NOL11,0.1501,0.3817,0.9994,0.41827784,Similar
BPTF,-0.0382,0.8546,0.9994,0.068237112,Similar
C17orf58,0.03877,0.7927,0.9994,0.100891142,Similar
LOC100499466,-0.08964,0.5562,0.9994,0.254769015,Similar
LOC440461,-0.2494,0.5248,0.9994,0.280006174,Similar
AMZ2,0.01276,0.9239,0.9994,0.034375033,Similar
ARSG,-0.4325,0.1104,0.9994,0.957030927,Similar
SLC16A6,-0.04533,0.8956,0.9994,0.047885915,Similar
MIR635,-0.3942,0.3133,0.9994,0.504039605,Similar
PRKAR1A,-0.007576,0.9599,0.9994,0.017774008,Similar
FAM20A,-0.5234,0.1805,0.9994,0.743522794,Similar
ABCA8,0.3184,0.4002,0.9994,0.397722916,Similar
ABCA9,-0.4185,0.2831,0.9994,0.548060131,Similar
ABCA10,-0.1126,0.7738,0.9994,0.111371275,Similar
ABCA5,0.0807,0.7803,0.9994,0.107738393,Similar
MAP2K6,-0.2699,0.2499,0.9994,0.602233744,Similar
KCNJ16,0.3542,0.3375,0.9994,0.471726223,Similar
KCNJ2-AS1,0.153,0.5838,0.9994,0.233735909,Similar
KCNJ2,0.04723,0.8779,0.9994,0.056554951,Similar
SOX9,-0.1137,0.5348,0.9994,0.271808601,Similar
LOC100499467,0.02275,0.8966,0.9994,0.047401265,Similar
LINC00511,0.08188,0.8315,0.9994,0.080137746,Similar
SLC39A11,-0.3699,0.2419,0.9994,0.616364132,Similar
COG1,0.06249,0.8092,0.9994,0.091944126,Similar
FAM104A,0.1254,0.3768,0.9994,0.423889106,Similar
C17orf80,0.1448,0.4936,0.9994,0.306624849,Similar
CPSF4L,0.05349,0.8901,0.9994,0.050561199,Similar
CDC42EP4,-0.2052,0.2353,0.9994,0.628378073,Similar
SDK2,-0.1379,0.4727,0.9994,0.325414398,Similar
RPL38,-0.2762,0.244,0.9994,0.612610174,Similar
MGC16275,-0.1191,0.6154,0.9994,0.210842508,Similar
TTYH2,-0.1483,0.5204,0.9994,0.283662712,Similar
DNAI2,0.1056,0.7865,0.9994,0.104301273,Similar
BTBD17,0.02353,0.9495,0.9994,0.022505031,Similar
GPRC5C,-0.252,0.4276,0.9994,0.368962303,Similar
CD300A,-0.3589,0.3442,0.9994,0.463189134,Similar
CD300C,0.4471,0.2503,0.9994,0.60153915,Similar
C17orf77,-0.1925,0.5146,0.9994,0.288530218,Similar
CD300E,-0.1432,0.6788,0.9994,0.168258166,Similar
SLC9A3R1,-0.5844,0.1174,0.9994,0.930331903,Similar
NAT9,-0.04156,0.8935,0.9994,0.048905443,Similar
TMEM104,-0.02507,0.8726,0.9994,0.059184791,Similar
FDXR,-0.2796,0.4085,0.9994,0.388807939,Similar
FADS6,-0.3147,0.4017,0.9994,0.396098168,Similar
USH1G,0.1038,0.7891,0.9994,0.102867957,Similar
C17orf28,0.301,0.3083,0.9994,0.511026475,Similar
CDR2L,0.1981,0.3095,0.9994,0.509339347,Similar
ICT1,0.1473,0.3664,0.9994,0.436044535,Similar
ATP5H,0.09764,0.6263,0.9994,0.203217588,Similar
KCTD2,0.1976,0.3096,0.9994,0.509199048,Similar
ARMC7,0.1303,0.6669,0.9994,0.175939283,Similar
NT5C,-0.05944,0.7244,0.9994,0.140021558,Similar
HN1,0.1916,0.4931,0.9994,0.307064997,Similar
SUMO2,-0.1433,0.4551,0.9994,0.341893164,Similar
NUP85,-0.1494,0.5822,0.9994,0.234927799,Similar
GGA3,0.04601,0.8428,0.9994,0.074275473,Similar
MRPS7,0.2908,0.1992,0.9994,0.700710666,Similar
MIF4GD,-0.02569,0.9059,0.9994,0.04291974,Similar
LOC100287042,0.04943,0.8652,0.9994,0.062883489,Similar
SLC25A19,-0.09408,0.7534,0.9994,0.122974384,Similar
GRB2,0.102,0.5161,0.9994,0.287266141,Similar
KIAA0195,-0.02228,0.8916,0.9994,0.04982994,Similar
CASKIN2,0.1569,0.3357,0.9994,0.474048659,Similar
TSEN54,-0.1219,0.4891,0.9994,0.310602337,Similar
LLGL2,-0.3457,0.3611,0.9994,0.442372512,Similar
MYO15B,0.06372,0.8656,0.9994,0.062682752,Similar
RECQL5,-0.016,0.9365,0.9994,0.028492218,Similar
C17orf109,0.09375,0.8037,0.9994,0.094906032,Similar
SAP30BP,0.01478,0.9501,0.9994,0.022230682,Similar
GALK1,-0.3139,0.249,0.9994,0.603800653,Similar
H3F3B,0.1051,0.6324,0.9994,0.199008139,Similar
UNK,0.06519,0.7512,0.9994,0.124244421,Similar
UNC13D,-0.1155,0.7172,0.9994,0.144359719,Similar
WBP2,0.1344,0.4614,0.9994,0.33592241,Similar
TRIM47,-0.04847,0.8881,0.9994,0.05153813,Similar
TRIM65,-0.1784,0.4552,0.9994,0.341797747,Similar
MRPL38,0.1853,0.1965,0.9994,0.706637445,Similar
FBF1,-0.2809,0.2781,0.9994,0.555799011,Similar
ACOX1,0.01436,0.9332,0.9994,0.03002527,Similar
ZACN,0.01153,0.9761,0.9994,0.010505687,Similar
EXOC7,0.03094,0.8072,0.9994,0.093018847,Similar
FOXJ1,0.1981,0.6071,0.9994,0.216739767,Similar
LOC100507218,-0.1226,0.5994,0.9994,0.222283261,Similar
RNF157,0.2025,0.4437,0.9994,0.352910571,Similar
FAM100B,-0.0881,0.7966,0.9994,0.098759698,Similar
QRICH2,0.1238,0.553,0.9994,0.257274869,Similar
PRPSAP1,0.01474,0.8886,0.9994,0.051293691,Similar
AANAT,-0.1792,0.6262,0.9994,0.203286937,Similar
RHBDF2,-0.4185,0.2052,0.9994,0.687822644,Similar
CYGB,0.1922,0.4974,0.9994,0.303294219,Similar
PRCD,0.1163,0.7433,0.9994,0.128835867,Similar
LOC100507246,-0.2392,0.3012,0.9994,0.521145032,Similar
ST6GALNAC2,0.131,0.7079,0.9994,0.150028088,Similar
MXRA7,-0.1682,0.278,0.9994,0.555955204,Similar
JMJD6,0.01571,0.9614,0.9994,0.017095882,Similar
METTL23,0.1144,0.6573,0.9994,0.182236368,Similar
SRSF2,-0.1551,0.4466,0.9994,0.350081281,Similar
MGAT5B,0.1463,0.5935,0.9994,0.226579277,Similar
SEC14L1,-0.06235,0.8045,0.9994,0.094473952,Similar
LINC00338,0.0873,0.752,0.9994,0.123782159,Similar
LOC100507351,0.3743,0.2295,0.9994,0.63921731,Similar
TNRC6C,0.1605,0.5661,0.9994,0.247106845,Similar
TMC8,-0.08428,0.8294,0.9994,0.081235969,Similar
TK1,-0.302,0.441,0.9994,0.355561411,Similar
AFMID,-0.5247,0.1232,0.9994,0.909389292,Similar
BIRC5,-0.4523,0.1542,0.9994,0.811915626,Similar
PGS1,-0.1821,0.1118,0.9994,0.951558196,Similar
CYTH1,0.2026,0.4466,0.9994,0.350081281,Similar
USP36,-0.04673,0.8808,0.9994,0.055122694,Similar
TIMP2,-0.1202,0.668,0.9994,0.175223538,Similar
LOC100653515,-0.1904,0.5839,0.9994,0.233661525,Similar
LGALS3BP,-0.1523,0.5017,0.9994,0.299555899,Similar
C1QTNF1,-0.5626,0.1482,0.9994,0.829151796,Similar
ENGASE,0.1047,0.6664,0.9994,0.176265012,Similar
RBFOX3,0.2352,0.529,0.9994,0.276544328,Similar
CBX2,-0.2588,0.3743,0.9994,0.426780173,Similar
CBX8,-0.04486,0.8464,0.9994,0.072424345,Similar
CBX4,0.08834,0.725,0.9994,0.139661993,Similar
CCDC40,-0.05763,0.8654,0.9994,0.062783109,Similar
GAA,-0.1843,0.4814,0.9994,0.317493914,Similar
EIF4A3,0.0856,0.6354,0.9994,0.19695279,Similar
SGSH,-0.1153,0.5854,0.9994,0.232547282,Similar
SLC26A11,0.1062,0.5737,0.9994,0.24131515,Similar
RNF213,-0.2461,0.398,0.9994,0.400116928,Similar
LOC100294362,0.2208,0.385,0.9994,0.41453927,Similar
ENDOV,0.163,0.2805,0.9994,0.552067134,Similar
NPTX1,-0.1207,0.6842,0.9994,0.16481693,Similar
RPTOR,0.113,0.57,0.9994,0.244125144,Similar
CHMP6,0.1758,0.5748,0.9994,0.240483241,Similar
FLJ90757,0.1732,0.5231,0.9994,0.28141528,Similar
AATK,0.2424,0.2936,0.9994,0.532243949,Similar
AATK-AS1,-0.178,0.6385,0.9994,0.194839098,Similar
AZI1,-0.1062,0.6625,0.9994,0.178814117,Similar
C17orf56,0.05719,0.6996,0.9994,0.155150199,Similar
C17orf89,-0.2078,0.4669,0.9994,0.330776126,Similar
SLC38A10,-0.125,0.6824,0.9994,0.165960982,Similar
LINC00482,-0.1398,0.7171,0.9994,0.144420277,Similar
TMEM105,-0.1664,0.6712,0.9994,0.173148052,Similar
BAHCC1,0.06207,0.8385,0.9994,0.076496933,Similar
ACTG1,-0.285,0.171,0.9994,0.76700389,Similar
FSCN2,-0.1005,0.6867,0.9994,0.163232953,Similar
C17orf70,0.09699,0.5885,0.9994,0.230253533,Similar
NPLOC4,-0.01834,0.9283,0.9994,0.03231165,Similar
TSPAN10,-0.1838,0.6244,0.9994,0.204537106,Similar
PDE6G,0.2224,0.5654,0.9994,0.247644196,Similar
C17orf90,0.206,0.2824,0.9994,0.549135308,Similar
CCDC137,0.1005,0.7131,0.9994,0.146849564,Similar
ARL16,0.06208,0.7271,0.9994,0.138405855,Similar
HGS,0.03956,0.8407,0.9994,0.075358953,Similar
MRPL12,0.1568,0.4869,0.9994,0.312560225,Similar
SLC25A10,-0.2087,0.5673,0.9994,0.246187216,Similar
GCGR,-0.3173,0.3719,0.9994,0.429573822,Similar
FAM195B,0.09632,0.5915,0.9994,0.228045251,Similar
PPP1R27,-0.2044,0.598,0.9994,0.223298816,Similar
ARHGDIA,-0.1261,0.4838,0.9994,0.315334136,Similar
ALYREF,-0.1083,0.6718,0.9994,0.17276,Similar
ANAPC11,0.01814,0.8961,0.9994,0.047643523,Similar
NPB,0.2422,0.387,0.9994,0.412289035,Similar
PCYT2,0.03866,0.8664,0.9994,0.062281556,Similar
SIRT7,-0.1645,0.4192,0.9994,0.377578726,Similar
MAFG,-0.02503,0.9164,0.9994,0.037914919,Similar
MAFG-AS1,0.03144,0.9331,0.9994,0.030071811,Similar
MYADML2,0.03528,0.8949,0.9994,0.048225492,Similar
ASPSCR1,-0.1675,0.3293,0.9994,0.482408269,Similar
STRA13,0.009916,0.9431,0.9994,0.025442255,Similar
LRRC45,-0.05007,0.817,0.9994,0.087777943,Similar
RAC3,-0.05356,0.85,0.9994,0.070581074,Similar
RFNG,-0.218,0.4336,0.9994,0.362910726,Similar
GPS1,-0.03974,0.7995,0.9994,0.097181532,Similar
DUS1L,-0.1998,0.4733,0.9994,0.324863496,Similar
CCDC57,0.0562,0.8626,0.9994,0.064190546,Similar
SLC16A3,0.1568,0.6764,0.9994,0.169796401,Similar
CSNK1D,0.006916,0.9689,0.9994,0.013721044,Similar
CD7,-0.5732,0.1398,0.9994,0.854492829,Similar
SECTM1,-0.3158,0.2841,0.9994,0.546528766,Similar
TEX19,0.2655,0.494,0.9994,0.306273051,Similar
UTS2R,-0.3449,0.3779,0.9994,0.422623108,Similar
C17orf101,-0.03193,0.899,0.9994,0.046240308,Similar
HEXDC,-0.09243,0.6638,0.9994,0.177962752,Similar
C17orf62,0.04777,0.8871,0.9994,0.052027421,Similar
FOXK2,-0.05824,0.7853,0.9994,0.104964403,Similar
WDR45L,-0.1191,0.4211,0.9994,0.375614759,Similar
RAB40B,-0.07298,0.6945,0.9994,0.15832775,Similar
FN3KRP,0.03546,0.8847,0.9994,0.053203973,Similar
FN3K,0.0631,0.6972,0.9994,0.156642622,Similar
TBCD,-0.07875,0.6271,0.9994,0.202663199,Similar
ZNF750,0.1656,0.6468,0.9994,0.189229989,Similar
B3GNTL1,-0.2002,0.2959,0.9994,0.528855035,Similar
METRNL,0.2188,0.4712,0.9994,0.326794718,Similar
ROCK1P1,-0.358,0.2676,0.9994,0.572513891,Similar
USP14,-0.01583,0.8709,0.9994,0.060031709,Similar
THOC1,-0.1264,0.4373,0.9994,0.359220523,Similar
C18orf56,-0.05588,0.8672,0.9994,0.061880731,Similar
TYMS,-0.204,0.5578,0.9994,0.25352149,Similar
ENOSF1,-0.2859,0.1874,0.9994,0.727230413,Similar
YES1,-0.2016,0.4032,0.9994,0.394479477,Similar
ADCYAP1,-0.2442,0.4091,0.9994,0.388170521,Similar
METTL4,0.06384,0.7132,0.9994,0.146788665,Similar
NDC80,-0.4568,0.182,0.9994,0.739928612,Similar
CBX3P2,0.4293,0.2374,0.9994,0.624519285,Similar
SMCHD1,-0.01948,0.883,0.9994,0.054039296,Similar
LPIN2,-0.06907,0.7778,0.9994,0.109132061,Similar
LOC727896,-0.06199,0.8148,0.9994,0.08894898,Similar
MYOM1,0.2003,0.5031,0.9994,0.298345683,Similar
MYL12A,-0.4217,0.2196,0.9994,0.658367664,Similar
MYL12B,-0.1447,0.5201,0.9994,0.283913146,Similar
TGIF1,-0.3478,0.1224,0.9994,0.912218582,Similar
DLGAP1,-0.1796,0.5363,0.9994,0.270592203,Similar
FLJ35776,-0.5549,0.1427,0.9994,0.845576027,Similar
LOC339290,0.2021,0.3167,0.9994,0.499351937,Similar
ZFP161,-0.01626,0.9258,0.9994,0.033482824,Similar
EPB41L3,-0.2134,0.488,0.9994,0.311580178,Similar
TMEM200C,-0.1027,0.7365,0.9994,0.132827249,Similar
L3MBTL4,-0.333,0.3158,0.9994,0.500587874,Similar
LAMA1,-0.2264,0.4194,0.9994,0.377371574,Similar
PTPRM,0.3579,0.1074,0.9994,0.968995719,Similar
RAB12,-0.02831,0.8673,0.9994,0.061830654,Similar
CCDC165,0.1119,0.6703,0.9994,0.173730781,Similar
NDUFV2,0.131,0.4288,0.9994,0.367745223,Similar
RAB31,-0.02611,0.9409,0.9994,0.026456531,Similar
TXNDC2,-0.281,0.4678,0.9994,0.329939783,Similar
VAPA,0.03923,0.7857,0.9994,0.104743247,Similar
APCDD1,0.1797,0.6431,0.9994,0.19172149,Similar
NAPG,0.2336,0.1767,0.9994,0.75276345,Similar
GNAL,0.09755,0.762,0.9994,0.118045029,Similar
CHMP1B,0.1026,0.4152,0.9994,0.381742655,Similar
MPPE1,-0.04975,0.8107,0.9994,0.091139827,Similar
AFG3L2,-0.008776,0.9555,0.9994,0.019769309,Similar
SLMO1,-0.3261,0.3668,0.9994,0.435570673,Similar
SPIRE1,0.09299,0.5596,0.9994,0.252122294,Similar
PSMG2,-0.1215,0.5364,0.9994,0.270511231,Similar
CEP76,0.06659,0.7399,0.9994,0.130826973,Similar
SEH1L,0.009523,0.9641,0.9994,0.015877917,Similar
CEP192,-0.1208,0.6599,0.9994,0.180521872,Similar
C18orf1,-0.3131,0.3755,0.9994,0.425390059,Similar
FAM210A,-0.11,0.6877,0.9994,0.162600976,Similar
RNMT,0.1377,0.4021,0.9994,0.395665927,Similar
ZNF519,0.1395,0.427,0.9994,0.369572125,Similar
ANKRD20A5P,0.2525,0.4936,0.9994,0.306624849,Similar
CXADRP3,0.3988,0.274,0.9994,0.562249437,Similar
ANKRD30B,-0.07805,0.807,0.9994,0.093126465,Similar
ROCK1,-0.2424,0.174,0.9994,0.759450752,Similar
GREB1L,0.1162,0.7242,0.9994,0.14014148,Similar
ESCO1,0.1505,0.3913,0.9994,0.407490152,Similar
SNRPD1,0.002279,0.9907,0.9994,0.004057837,Similar
ABHD3,-0.07013,0.7985,0.9994,0.09772508,Similar
MIB1,-0.005936,0.9784,0.9994,0.009483556,Similar
CTAGE1,0.1776,0.6493,0.9994,0.187554597,Similar
RBBP8,-0.1784,0.5774,0.9994,0.23852322,Similar
TMEM241,-0.1483,0.4826,0.9994,0.316412682,Similar
RIOK3,-0.1223,0.6186,0.9994,0.208590084,Similar
C18orf8,0.05517,0.7078,0.9994,0.150089442,Similar
NPC1,-0.02299,0.9247,0.9994,0.033999142,Similar
ANKRD29,-0.1161,0.7656,0.9994,0.115998075,Similar
LAMA3,-0.5501,0.1387,0.9994,0.857923539,Similar
TTC39C,-0.1826,0.5614,0.9994,0.250727592,Similar
CABYR,-0.06477,0.8084,0.9994,0.092373695,Similar
OSBPL1A,-0.008712,0.9419,0.9994,0.025995203,Similar
IMPACT,-0.06828,0.7977,0.9994,0.098160408,Similar
HRH4,-0.103,0.7161,0.9994,0.145026326,Similar
ZNF521,-0.04526,0.8301,0.9994,0.080869586,Similar
SS18,-0.02004,0.922,0.9994,0.035269079,Similar
TAF4B,-0.168,0.603,0.9994,0.219682688,Similar
KCTD1,0.1418,0.4958,0.9994,0.304693478,Similar
LOC728606,0.2181,0.5709,0.9994,0.243439957,Similar
AQP4,0.09245,0.8128,0.9994,0.090016305,Similar
CHST9-AS1,-0.1038,0.7694,0.9994,0.113847818,Similar
